user_id,access_hash,username,first_name,status
1948913754,-853218999701985971,duydat221,Duy Đạt,valid
6122262110,-6343011851905929669,Balabalahaneut1232,Rahman,valid
548154875,1707694087780017433,ronisan77,"Ronisan (Ø,G)",valid
1249462498,2715393326570070003,Kalengsardennih,ardian |HCA,valid
1938822509,876665351431728462,wlnsrdn,Jepe,valid
5075957327,704847057637886553,Normans02,Norman,valid
6834438116,8225904702477095063,Foxconx,Syte,valid
343191555,-45676947301314590,HermanLnk,Herman,valid
976285495,-2412994914884682748,Elmy11,"Ryan Prabowo (Ø,G)",valid
1658975491,5063523454325739848,Maniek18,Maniek18🦴,valid
8006762889,-4514451224745607135,realodss,realods,valid
412905257,5408403549233586599,Bambangpurniarso,Suje,valid
793108983,-48616728075791473,AnupamMai,"Anupam ""| HCA""",valid
6515382441,174319867208776958,fredybrick,Zhypver▪️,valid
5943508300,-3204726510605668393,zetalc00,zetalc00🐾,valid
7111687716,-8837266524007945741,Andiencoy,Bang encoy,valid
6221430294,-8260776604555871632,aizharaires,Aizhar ▪️🐾,valid
5923251402,-6906403224968117441,R13ff,arif NodeGo.Ai,valid
1300523851,2955302187822591468,zazidza,fanatico,valid
430407733,4746480039280550592,Yndra04,"1% (Ø,G) | ♾️",valid
6709156558,-3595719301148261801,planearn001,Mahesh,valid
7039782046,2146894800933955148,Syntax3ror,Syntax3ror,valid
1305414480,-5394141936767647604,Vaa27tu2,SOL ⛓️,valid
682362065,4332548556718490221,Jagokw1445,Bang,valid
1121141388,-88352184776958856,pemudamerah07,Zawiyah Sirr,valid
1470199608,7828463650602523671,Llloser404,Small T.,valid
6021069552,-5882705601599035263,OldSyntacx,Adipati,valid
1433429532,3895516393603107939,faiz_iqball,faiz,valid
6705730183,7411111707022127453,pogesjoplin,Mas elon,valid
974679168,7182707078470745674,Worker24Admin,Trueworker24,valid
5280404874,1233823299034951187,Wisnua28,Wisnua28,valid
1113982352,3602460954656400556,uding10,Bismillah Jp,valid
1396155127,-9202072356803530695,papkill,"𝙥 𝙖 𝙥 𝙠 𝙞 𝙡 𝙡 `ASC• (Ø,G)",valid
1182960911,3501189363461966096,andrezold,andre,valid
1886152468,3084754498375505940,pak_viu,Zigic,valid
7075974008,1724445788547797255,desol124,"Desol Ø,G",valid
6358510951,5349712704013947415,phaneshane,Shayne,valid
1103227126,3359791785397074155,Toni_banzai,tonibanzai,valid
7031325335,-8593060665280695125,elsu2741,2741,valid
7488152920,-4116775709340454998,Sabirg00,Sabir,valid
1240859888,1579639531998231272,Chihiroryuu,Veilzerofun,valid
6660373523,8527856471188325189,du123do,caitou,valid
605559542,-4518231344501637624,GZyte,LoG,valid
1774752674,7126892562772089521,xaxazic,𓊈ტนᎥt𓊉,valid
5416963164,-285530620523532867,Dikaaafriansyah,Dika,valid
7407310777,-1925837751163248655,AxRepthyz,AxRephtyz,valid
912685932,2838752997778714057,luky2113333,Wala,valid
6284789541,-1652184818369437890,xmeth018,0xmeth,valid
